2026-02-28 18:43:09,622 | INFO | veganbot | 🧠 Initializing Groq LLM...
2026-02-28 18:43:10,306 | INFO | veganbot | ✅ Groq LLM Ready
2026-02-28 18:43:10,309 | INFO | veganbot | 🔹 Multi Query Generation Loaded
2026-02-28 18:43:10,309 | INFO | veganbot | 🔹 Retrieval Function Loaded
2026-02-28 18:43:10,309 | INFO | veganbot | 🔹 RRF Fusion Loaded
2026-02-28 18:43:10,310 | INFO | veganbot | 🔹 Fusion Pipeline Ready
2026-02-28 18:43:10,321 | INFO | veganbot | 🧠 Initializing Groq LLM...
2026-02-28 18:43:10,948 | INFO | veganbot | ✅ Groq LLM Ready
2026-02-28 18:43:10,948 | INFO | veganbot | ✅ LLM Loaded
2026-02-28 18:43:10,952 | INFO | veganbot | ✅ QA Prompt Ready
2026-02-28 18:43:10,952 | INFO | veganbot | ✅ Prompt Loaded
2026-02-28 18:43:10,952 | INFO | veganbot | ✅ QA Chain Created
2026-02-28 18:43:10,955 | INFO | veganbot | 🔗 Connecting to existing index...
2026-02-28 18:53:50,118 | INFO | veganbot | 📜 Prompt file loaded
2026-02-28 18:53:52,576 | INFO | veganbot | 📂 Helper: load_pdf_files loaded
2026-02-28 18:53:52,576 | INFO | veganbot | 🧹 Helper: filter_to_minimal_docs loaded
2026-02-28 18:53:52,579 | INFO | veganbot | ✂ Helper: text_split loaded
2026-02-28 18:53:52,579 | INFO | veganbot | 📥 Helper: download_embeddings loaded
2026-02-28 18:53:52,580 | INFO | veganbot | 🧠 Initializing Groq LLM...
2026-02-28 18:53:53,250 | INFO | veganbot | ✅ Groq LLM Ready
2026-02-28 18:53:53,250 | INFO | veganbot | 🔹 Multi Query Generation Loaded
2026-02-28 18:53:53,250 | INFO | veganbot | 🔹 Retrieval Function Loaded
2026-02-28 18:53:53,253 | INFO | veganbot | 🔹 RRF Fusion Loaded
2026-02-28 18:53:53,253 | INFO | veganbot | 🔹 Fusion Pipeline Ready
2026-02-28 18:53:53,253 | INFO | veganbot | 🧠 Initializing Groq LLM...
2026-02-28 18:53:53,833 | INFO | veganbot | ✅ Groq LLM Ready
2026-02-28 18:53:53,833 | INFO | veganbot | ✅ LLM Loaded
2026-02-28 18:53:53,833 | INFO | veganbot | ✅ QA Prompt Ready
2026-02-28 18:53:53,833 | INFO | veganbot | ✅ Prompt Loaded
2026-02-28 18:53:53,833 | INFO | veganbot | ✅ QA Chain Created
2026-02-28 18:53:53,833 | INFO | veganbot | 🔗 Connecting to existing index...
2026-02-28 18:54:00,083 | INFO | veganbot | ✅ Connected to Pinecone
2026-02-28 18:54:00,085 | INFO | veganbot | ✅ Vector Store Connected
2026-02-28 18:54:00,085 | INFO | veganbot | ✅ Retriever Ready
2026-02-28 18:54:10,109 | INFO | veganbot | ✅ Generated Queries:
2026-02-28 18:54:13,369 | INFO | veganbot | 📄 Fusion Retrieval Completed
2026-02-28 18:54:23,028 | INFO | veganbot | ✅ Generated Queries:
2026-02-28 18:54:24,557 | INFO | veganbot | 📄 Fusion Retrieval Completed
2026-02-28 18:54:30,918 | INFO | veganbot | ✅ Generated Queries:
2026-02-28 18:54:32,294 | INFO | veganbot | 📄 Fusion Retrieval Completed
2026-02-28 18:54:39,487 | INFO | veganbot | ✅ Generated Queries:
2026-02-28 18:54:40,832 | INFO | veganbot | 📄 Fusion Retrieval Completed
2026-02-28 18:54:46,668 | INFO | veganbot | ✅ Generated Queries:
2026-02-28 18:54:48,147 | INFO | veganbot | 📄 Fusion Retrieval Completed
2026-02-28 18:55:22,755 | INFO | veganbot | ✅ Generated Queries:
2026-02-28 18:55:24,086 | INFO | veganbot | 📄 Fusion Retrieval Completed
